product_id,name,brand,unit,price_inr,in_stock,category_name,group_name,merchant_id,est_weight_g,image,verdict,dimensions,primary_rule,reason,authority,risk_bucket,list_usd,freight_ratio,sellable_alone
722649,1008 Fun Activity Book for Kids,Little House,1 pc,349.0,0,Stationery & Games,Books & Magazines,34280,320.0,https://cdn.grofers.com/da/cms-assets/cms/product/69bffffd-2342-483f-b7c4-dfe13f4068b1.png,ALLOWED,,GROUP:Books & Magazines,Printed matter; duty free.,HTSUS 4901 (duty free),CRITICAL,29.99,2.58,yes
535086,108 Panchatantra Story (Hindi),Maple Press,1 pc,149.0,1,Stationery & Games,Books & Magazines,34280,320.0,https://cdn.grofers.com/da/cms-assets/cms/product/296a7aa0-4f1a-4b05-8700-f363ac39bb84.png,ALLOWED,,GROUP:Books & Magazines,Printed matter; duty free.,HTSUS 4901 (duty free),NORMAL,25.99,6.05,bundle_only
535085,108 Stories from the Vedas,Maple Press,1 pc,118.0,0,Stationery & Games,Books & Magazines,36778,320.0,https://cdn.grofers.com/da/cms-assets/cms/product/4a2f5fd9-5381-4a9b-bf42-260f319f6a2a.png,ALLOWED,,GROUP:Books & Magazines,Printed matter; duty free.,HTSUS 4901 (duty free),CRITICAL,24.99,7.64,bundle_only
790291,10on Food Cling Wrap,10on,1 roll,199.0,0,Home & Lifestyle,Tissues & Disposables,36778,90.0,https://cdn.grofers.com/da/cms-assets/cms/product/07f83a4a3d274fd7b8095029cbeec7b5.png,ALLOWED,,GROUP:Tissues & Disposables,Paper goods.,-,CRITICAL,27.99,4.53,bundle_only
734383,10on Food Wrapping Paper,10on,1 roll,89.0,1,Kitchenware & Appliances,Tissues & Disposables,36778,90.0,https://cdn.grofers.com/da/cms-assets/cms/product/34167513-ff83-4249-ae32-81745b112203.png,ALLOWED,,GROUP:Tissues & Disposables,Paper goods.,-,NORMAL,22.99,10.13,bundle_only
729061,10on Food Wrapping Paper,10on,1 roll,178.0,0,Home & Lifestyle,Tissues & Disposables,36778,90.0,https://cdn.grofers.com/da/cms-assets/cms/product/fc8e9c2c-65b8-4bce-bb35-49e45d2bd762.png,ALLOWED,,GROUP:Tissues & Disposables,Paper goods.,-,CRITICAL,26.99,5.07,bundle_only
700965,10on Garbage Bag (Black),10on,30 pcs,69.0,1,Home & Lifestyle,Tissues & Disposables,36778,300.0,https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1780390390991-476.png,ALLOWED,,GROUP:Tissues & Disposables,Paper goods.,-,NORMAL,24.99,13.07,bundle_only
700932,10on Garbage Bag (Black),10on,15 pcs,76.0,1,Home & Lifestyle,Tissues & Disposables,36778,300.0,https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1780390390991-475.png,ALLOWED,,GROUP:Tissues & Disposables,Paper goods.,-,NORMAL,24.99,11.87,bundle_only
701017,10on Garbage Bag (Black),10on,30 pcs,61.0,1,Home & Lifestyle,Tissues & Disposables,36778,300.0,https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1780390390991-477.png,ALLOWED,,GROUP:Tissues & Disposables,Paper goods.,-,NORMAL,24.99,14.78,bundle_only
725484,10on Lite Face Tissue Paper,10on,3 x 100 pulls,109.0,1,Home & Lifestyle,Tissues & Disposables,36778,660.0,https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1785921207152-636.png,ALLOWED,,GROUP:Tissues & Disposables,Paper goods.,-,NORMAL,33.99,12.41,bundle_only
725685,10on Red Disposable Party Cups (450 ml),10on,10 pcs,99.0,1,Kitchenware & Appliances,Tissues & Disposables,36778,300.0,https://cdn.grofers.com/da/cms-assets/cms/product/0016d331-11a7-45e4-ba51-196cbc777981.png,ALLOWED,,GROUP:Tissues & Disposables,Paper goods.,-,NORMAL,23.99,9.11,bundle_only
690526,1950 origins Assam Whole Leaf Tea,1950 origins,80 g,456.0,0,"Tea, Coffee & Milk Drinks",Tea,34280,80.0,https://cdn.grofers.com/da/cms-assets/cms/product/5fc45d69-bec3-412f-8139-6c7bfe49e924.png,ALLOWED,,GROUP:Tea,Dry shelf-stable beverage.,Federal Tea Importation Act repealed 1996,HIGH,29.99,1.98,yes
689103,1950 origins Darjeeling Mist Long Leaf Tea,1950 origins,80 g,664.0,0,"Tea, Coffee & Milk Drinks",Tea,34280,80.0,https://cdn.grofers.com/da/cms-assets/cms/product/6e8a0196-a24c-4b24-a47c-066463c364d9.png,ALLOWED,,GROUP:Tea,Dry shelf-stable beverage.,Federal Tea Importation Act repealed 1996,HIGH,33.99,1.36,yes
679593,1950 origins Premium Royal Assam CTC Tea,1950 origins,150 g,456.0,0,"Tea, Coffee & Milk Drinks",Tea,34280,150.0,https://cdn.grofers.com/da/cms-assets/cms/product/ff460cba-9733-4510-801c-f4c95d24f3b5.png,ALLOWED,,GROUP:Tea,Dry shelf-stable beverage.,Federal Tea Importation Act repealed 1996,HIGH,29.99,1.98,yes
486852,"24 Mantra Organic Bengal Roasted Gram Dal, / Channa Dal - Pack of 2",24 Mantra Organic,2 x 500 g,292.0,0,Chips & Namkeen,Bhujia & Mixtures,36778,1000.0,https://cdn.grofers.com/da/cms-assets/cms/product/bd24a402-a811-436e-afea-092029a55734.png,ALLOWED,,GROUP:Bhujia & Mixtures,Shelf-stable packaged snack.,FDA prior notice only,HIGH,31.99,4.63,bundle_only
108382,24 Mantra Organic Black (Small) Mustard Seeds / Rai Seeds,24 Mantra Organic,100 g,37.0,1,"Oil, Ghee & Masala",Whole Spices,36778,100.0,https://cdn.grofers.com/da/cms-assets/cms/product/aa7bccae-3d08-4abe-839c-3822076bdeae.png,ALLOWED,,GROUP:Whole Spices,Shelf-stable dry spice.,FDA prior notice only,NORMAL,21.99,24.37,bundle_only
495073,24 Mantra Organic Brown Sonamasuri Rice - Pack of 2,24 Mantra Organic,2 x 1 kg,240.0,0,"Atta, Rice & Dal",Rice,36778,2000.0,https://cdn.grofers.com/da/cms-assets/cms/product/rc-upload-1778220054937-2958.png,ALLOWED,,GROUP:Rice,Dry milled cereal.,FDA prior notice only,HIGH,42.99,9.31,bundle_only
